year,month,day,hour,Longitude,Latitude
2022,1,10,17,-122.361943,47.623416
2022,1,10,13,-122.356989,47.669113
2022,1,12,13,-122.357752,47.529783
2022,1,29,16,-122.347758,47.730569
2022,1,4,13,-122.347758,47.730569
2022,1,28,12,-122.347758,47.730569
2022,1,3,21,-122.347758,47.730569
2022,1,4,13,-122.347758,47.730569
2022,1,7,17,-122.347758,47.730569
2022,1,15,13,-122.347758,47.730569
2022,1,28,15,-122.311554,47.606181
2022,1,4,12,-122.317228,47.598338
2022,1,21,15,-122.296649,47.576277
2022,1,23,21,-122.375451,47.69805
2022,1,21,12,-122.376214,47.669442
2022,1,17,20,-122.376214,47.668667
2022,1,4,18,-122.376214,47.668667
2022,1,23,14,-122.376214,47.668667
2022,1,18,18,-122.308674,47.624542
2022,1,18,16,-122.308674,47.624542
2022,1,18,16,-122.325062,47.597453
2022,1,30,12,-122.325062,47.597453
2022,1,13,18,-122.319302,47.607834
2022,1,25,16,-122.350552,47.533487
2022,1,22,12,-122.329973,47.601717
2022,1,27,14,-122.387519,47.53989
2022,1,4,0,-122.387519,47.51561
2022,1,9,4,-122.30444,47.661806
2022,1,1,0,-122.30444,47.659361
2022,1,21,12,-122.30444,47.659361
2022,1,13,16,-122.393107,47.673721
2022,1,5,11,-122.305031,47.601672
2022,1,31,11,-122.305031,47.601672
2022,1,4,6,-122.320613,47.710828
2022,1,30,15,-122.295037,47.578347
2022,1,26,14,-122.311382,47.655933
2022,1,15,14,-122.343395,47.5645
2022,1,5,8,-122.338441,47.58831
2022,1,6,14,-122.400941,47.659255
2022,1,11,19,-122.317819,47.622217
2022,1,9,3,-122.275769,47.54586
2022,1,1,19,-122.323407,47.674663
2022,1,18,12,-122.339032,47.61599
2022,1,24,8,-122.355377,47.697839
2022,1,22,16,-122.412117,47.654097
2022,1,25,18,-122.292834,47.597992
2022,1,10,13,-122.340472,47.608629
2022,1,9,2,-122.340472,47.608629
2022,1,9,13,-122.324041,47.625118
2022,1,30,12,-122.407883,47.652944
2022,1,26,10,-122.368165,47.544028
2022,1,18,19,-122.337592,47.611207
2022,1,3,13,-122.337592,47.611207
2022,1,6,21,-122.337592,47.611207
2022,1,4,17,-122.337592,47.611207
2022,1,26,8,-122.337592,47.61409
2022,1,22,2,-122.337592,47.611207
2022,1,30,2,-122.337592,47.611207
2022,1,17,6,-122.337592,47.611207
2022,1,30,16,-122.37947,47.673823
2022,1,12,18,-122.312016,47.726993
2022,1,2,5,-122.317733,47.660175
2022,1,29,13,-122.281529,47.627072
2022,1,17,5,-122.312779,47.613157
2022,1,10,0,-122.347371,47.653683
2022,1,5,16,-122.296982,47.569117
2022,1,6,0,-122.34462,47.698825
2022,1,27,2,-122.333906,47.703403
2022,1,26,17,-122.328952,47.636766
2022,1,29,5,-122.286988,47.563949
2022,1,23,19,-122.319764,47.595374
2022,1,29,11,-122.34102,47.627134
2022,1,16,14,-122.34102,47.627134
2022,1,11,14,-122.320441,47.602693
2022,1,20,18,-122.414191,47.642435
2022,1,7,11,-122.284022,47.636088
2022,1,19,18,-122.331617,47.685241
2022,1,4,10,-122.391366,47.653376
2022,1,1,15,-122.391366,47.653376
2022,1,8,18,-122.391366,47.653376
2022,1,29,10,-122.323912,47.677564
2022,1,15,22,-122.298293,47.66786
2022,1,9,5,-122.308964,47.600659
2022,1,6,6,-122.308964,47.600659
2022,1,24,14,-122.308964,47.600659
2022,1,13,16,-122.319635,47.695846
2022,1,23,11,-122.297401,47.715614
2022,1,12,17,-122.319506,47.527305
2022,1,15,10,-122.361427,47.662918
2022,1,9,4,-122.376246,47.557433
2022,1,5,18,-122.386917,47.559265
2022,1,1,20,-122.330811,47.616989
2022,1,15,15,-122.330811,47.616989
2022,1,29,23,-122.330811,47.616989
2022,1,1,20,-122.330811,47.616989
2022,1,16,17,-122.330811,47.616989
2022,1,5,23,-122.330811,47.616989
2022,1,27,14,-122.29609,47.620283
2022,1,3,11,-122.305955,47.612912
2022,1,21,10,-122.35283,47.619759
2022,1,10,13,-122.364264,47.556891
2022,1,1,9,-122.29105,47.624965
2022,1,28,20,-122.384714,47.515468
2022,1,9,0,-122.333562,47.606801
2022,1,15,17,-122.333562,47.606801
2022,1,15,17,-122.333562,47.606801
2022,1,14,1,-122.333562,47.606801
2022,1,19,13,-122.333562,47.606801
2022,1,22,8,-122.333562,47.606801
2022,1,15,9,-122.333562,47.606801
2022,1,21,1,-122.333562,47.606801
2022,1,9,16,-122.333562,47.606801
2022,1,18,1,-122.322848,47.530527
2022,1,14,6,-122.292361,47.590331
2022,1,10,10,-122.344953,47.614799
2022,1,9,6,-122.298035,47.564039
2022,1,5,6,-122.339956,47.608845
2022,1,27,12,-122.340676,47.660339
2022,1,13,9,-122.361932,47.624935
2022,1,18,23,-122.362695,47.62214
2022,1,13,1,-122.311586,47.59665
2022,1,10,22,-122.300109,47.595303
2022,1,29,19,-122.305783,47.620223
2022,1,16,20,-122.337033,47.608918
2022,1,23,8,-122.33699,47.670733
2022,1,10,9,-122.254631,47.671974
2022,1,27,19,-122.33843,47.685954
2022,1,6,11,-122.329199,47.626215
2022,1,4,20,-122.323439,47.61302
2022,1,9,16,-122.346264,47.632301
2022,1,7,12,-122.334024,47.723207
2022,1,16,18,-122.344695,47.705096
2022,1,17,1,-122.344695,47.705096
2022,1,2,22,-122.344695,47.705096
2022,1,10,15,-122.344695,47.705096
2022,1,10,5,-122.344695,47.705096
2022,1,1,0,-122.344695,47.705096
2022,1,4,18,-122.344695,47.705096
2022,1,25,1,-122.344695,47.705096
2022,1,10,9,-122.344695,47.705096
2022,1,8,22,-122.344695,47.705096
2022,1,10,1,-122.344695,47.705096
2022,1,1,12,-122.344695,47.705096
2022,1,3,22,-122.344695,47.705096
2022,1,9,1,-122.344695,47.705096
2022,1,25,8,-122.344695,47.705096
2022,1,2,23,-122.344695,47.705096
2022,1,5,23,-122.344695,47.705096
2022,1,12,20,-122.344695,47.705096
2022,1,23,9,-122.402918,47.664278
2022,1,21,19,-122.402918,47.664278
2022,1,16,13,-122.319796,47.655858
2022,1,31,17,-122.35672,47.623277
2022,1,7,9,-122.372345,47.544633
2022,1,2,8,-122.383736,47.536065
2022,1,4,13,-122.358117,47.690611
2022,1,24,9,-122.353163,47.637517
2022,1,24,8,-122.327587,47.673625
2022,1,25,17,-122.327587,47.673625
2022,1,15,17,-122.322633,47.65722
2022,1,4,18,-122.349692,47.614082
2022,1,10,11,-122.269955,47.670768
2022,1,16,23,-122.394955,47.557071
2022,1,4,16,-122.343889,47.619726
2022,1,31,10,-122.343889,47.619726
2022,1,17,16,-122.38581,47.698238
2022,1,4,14,-122.3488,47.571413
2022,1,23,11,-122.38005,47.664908
2022,1,26,14,-122.38005,47.664908
2022,1,27,9,-122.277069,47.705348
2022,1,5,20,-122.341009,47.625398
2022,1,24,9,-122.309716,47.661658
2022,1,18,17,-122.320387,47.67769
2022,1,11,0,-122.325975,47.586175
2022,1,30,19,-122.321021,47.724054
2022,1,26,9,-122.321021,47.541052
2022,1,4,10,-122.264238,47.685749
2022,1,21,2,-122.315981,47.588422
2022,1,17,15,-122.315981,47.588422
2022,1,19,4,-122.338043,47.610024
2022,1,23,9,-122.338043,47.610024
2022,1,8,21,-122.317464,47.661775
2022,1,11,18,-122.350154,47.732314
2022,1,6,12,-122.329532,47.555516
2022,1,30,12,-122.40266,47.561071
2022,1,28,17,-122.309673,47.664986
2022,1,17,21,-122.304719,47.621388
2022,1,7,5,-122.391903,47.581214
2022,1,14,8,-122.391903,47.581214
2022,1,28,1,-122.391903,47.581214
2022,1,24,17,-122.391903,47.581214
2022,1,12,23,-122.391903,47.581214
2022,1,26,16,-122.391903,47.581214
2022,1,26,23,-122.391903,47.581214
2022,1,28,8,-122.391903,47.581214
2022,1,29,14,-122.391903,47.581214
2022,1,7,16,-122.277574,47.520337
2022,1,12,9,-122.324406,47.597512
2022,1,3,12,-122.288202,47.635541
2022,1,21,16,-122.319409,47.603682
2022,1,20,4,-122.294639,47.563035
2022,1,14,12,-122.289599,47.549392
2022,1,21,8,-122.357773,47.689112
2022,1,15,22,-122.348456,47.658652
2022,1,4,19,-122.376149,47.638695
2022,1,5,2,-122.376149,47.638695
2022,1,9,10,-122.376149,47.638695
2022,1,7,15,-122.376149,47.638695
2022,1,17,13,-122.376149,47.638695
2022,1,4,16,-122.376149,47.638695
2022,1,5,11,-122.376149,47.638695
2022,1,6,15,-122.376149,47.638695
2022,1,25,12,-122.376149,47.638695
2022,1,21,10,-122.376149,47.638695
2022,1,26,12,-122.376149,47.638695
2022,1,24,18,-122.376149,47.638695
2022,1,31,0,-122.376149,47.638695
2022,1,10,5,-122.376149,47.638695
2022,1,2,0,-122.376149,47.638633
2022,1,22,18,-122.330037,47.601612
2022,1,12,19,-122.376106,47.661872
2022,1,1,17,-122.319323,47.600694
2022,1,30,13,-122.319323,47.600694
2022,1,28,11,-122.319323,47.600694
2022,1,16,16,-122.288836,47.570729
2022,1,16,19,-122.320763,47.613031
2022,1,16,18,-122.320763,47.613031
2022,1,7,12,-122.347059,47.53374
2022,1,12,14,-122.321483,47.678144
2022,1,16,23,-122.332874,47.601721
2022,1,12,23,-122.326351,47.601701
2022,1,24,21,-122.326351,47.601701
2022,1,3,8,-122.326351,47.60171
2022,1,19,13,-122.321397,47.58104
2022,1,5,17,-122.336979,47.615949
2022,1,21,18,-122.336979,47.615949
2022,1,19,13,-122.358235,47.718101
2022,1,3,10,-122.338419,47.618127
2022,1,12,18,-122.338419,47.618127
2022,1,28,20,-122.338419,47.618127
2022,1,31,12,-122.31784,47.707748
2022,1,4,7,-122.339139,47.663586
2022,1,17,1,-122.323471,47.619809
2022,1,20,18,-122.355484,47.709117
2022,1,28,9,-122.355441,47.619994
2022,1,28,9,-122.355441,47.619994
2022,1,24,23,-122.355398,47.699802
2022,1,14,12,-122.351207,47.615345
2022,1,20,23,-122.262368,47.502333
2022,1,4,10,-122.325545,47.616499
2022,1,6,21,-122.309114,47.594423
2022,1,18,10,-122.319785,47.658727
2022,1,29,10,-122.299969,47.601976
2022,1,20,1,-122.330413,47.618823
2022,1,1,9,-122.330413,47.618823
2022,1,6,10,-122.330413,47.618823
2022,1,11,20,-122.330413,47.618823
2022,1,19,5,-122.330413,47.618823
2022,1,9,17,-122.330413,47.618727
2022,1,16,13,-122.341084,47.620061
2022,1,13,20,-122.341084,47.620061
2022,1,16,15,-122.341084,47.620061
2022,1,13,20,-122.341084,47.620061
2022,1,9,12,-122.356709,47.624583
2022,1,19,10,-122.332616,47.648106
2022,1,18,6,-122.332616,47.648106
2022,1,8,7,-122.323428,47.59751
2022,1,23,10,-122.348918,47.614798
2022,1,9,9,-122.348918,47.614798
2022,1,1,10,-122.348918,47.614798
2022,1,27,14,-122.348918,47.614798
2022,1,13,18,-122.348918,47.614798
2022,1,26,7,-122.348918,47.614798
2022,1,1,10,-122.348918,47.614798
2022,1,31,17,-122.348918,47.614798
2022,1,14,18,-122.348918,47.614798
2022,1,10,9,-122.348918,47.614798
2022,1,15,12,-122.302806,47.709154
2022,1,18,17,-122.302806,47.709154
2022,1,17,14,-122.329059,47.575283
2022,1,23,16,-122.329059,47.575283
2022,1,26,11,-122.272233,47.550402
2022,1,7,0,-122.32821,47.608054
2022,1,23,11,-122.32821,47.608054
2022,1,14,11,-122.32821,47.608054
2022,1,26,10,-122.32821,47.608054
2022,1,16,14,-122.32821,47.608054
2022,1,12,8,-122.333927,47.646867
2022,1,18,21,-122.333927,47.646867
2022,1,13,22,-122.333927,47.646867
2022,1,11,14,-122.333927,47.646867
2022,1,19,18,-122.333927,47.646867
2022,1,23,5,-122.328973,47.597603
2022,1,1,5,-122.335324,47.60705
2022,1,28,14,-122.335324,47.60705
2022,1,27,14,-122.335324,47.60705
2022,1,6,14,-122.335324,47.60705
2022,1,30,13,-122.299077,47.664322
2022,1,3,9,-122.269987,47.528932
2022,1,13,22,-122.316862,47.615729
2022,1,18,13,-122.352217,47.647273
